numero,x_utm,y_utm,h,lnk,contadores
2510,505.0505051,1262.626263,16.77,4.93727576,0
3808,404.040404,1919.191919,16.806,0.254332093,0
1511,555.5555556,757.5757576,16.83,-2.583702096,0
3509,454.5454545,1767.676768,16.897,1.326491277,0
3207,353.5353535,1616.161616,17.002,1.071891788,0
9605,252.5252525,4848.484848,17.058,-5.663398976,0
5803,151.5151515,2929.292929,17.275,-1.883085596,0
2005,252.5252525,1010.10101,17.283,-0.794604214,0
1109,454.5454545,555.5555556,17.426,-5.571491851,0
2904,202.020202,1464.646465,17.484,-0.385500729,0
1804,202.020202,909.0909091,17.878,-1.903473459,0
5103,151.5151515,2575.757576,17.933,-2.695494357,0
5,252.5252525,0,18.16,-4.574543992,0
105,252.5252525,50.50505051,18.176,-3.703505901,0
5601,50.50505051,2828.282828,18.477,-1.883019861,0
3102,101.010101,1565.656566,18.507,-1.527996184,0
1204,202.020202,606.0606061,18.727,-1.573009556,0
503,151.5151515,252.5252525,18.788,-3.089801224,0
1802,101.010101,909.0909091,19.027,-2.120763661,0
1303,151.5151515,656.5656566,19.033,-4.088521549,0
7602,101.010101,3838.383838,19.231,-3.716209542,0
4003,151.5151515,2020.20202,19.292,-0.525093596,0
7802,101.010101,3939.393939,19.374,-4.532570494,0
8901,50.50505051,4494.949495,19.466,-4.816496339,0
1801,50.50505051,909.0909091,19.524,-1.237288321,0
3902,101.010101,1969.69697,19.654,-0.014596005,0
1501,50.50505051,757.5757576,19.707,-2.094677014,0
500,0,252.5252525,20,-3.691803726,0
2300,0,1161.616162,20,-2.627193978,0
4700,0,2373.737374,20,-1.588312631,0
4800,0,2424.242424,20,-2.04476962,0
7800,0,3939.393939,20,-5.171896192,0
8100,0,4090.909091,20,-4.773600672,0
9800,0,4949.494949,20,-5.809609766,0
